Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,51.51349214773037,-0.11436054290620458,547.3114076913847,337.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Albany Park,AYP,0.0,51.4354507399114,0.12573706592842,51.51349214773037,-0.11436054290620458,18.806152871761093,36.0,6.6,ATOC,ANYTIME DAY S,0.0
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,51.51349214773037,-0.11436054290620458,193.570320645873,131.0,92.0,VIRGIN WEST COAST,ANYTIME S,0.0
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,51.51349214773037,-0.11436054290620458,246.04030576080385,139.0,165.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aldermaston,AMT,0.0,51.4019618556841,-1.1374239270022,51.51349214773037,-0.11436054290620458,72.18166559636343,47.0,26.2,GWR,ANYTIME DAY S,0.0
Aldershot,AHT,0.0,51.2464179114788,-0.759859888333875,51.51349214773037,-0.11436054290620458,53.875717736747674,57.0,16.0,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Aldrington,AGT,1.0,50.8363824121951,-0.183821512855377,51.51349214773037,-0.11436054290620458,75.48600644755165,83.0,30.9,SOUTHERN,ANYTIME DAY S,0.0
Alexandra Palace,AAP,0.0,51.5979224924556,-0.120235220128854,51.51349214773037,-0.11436054290620458,9.402459094880566,23.0,4.6,ATOC,ANYTIME DAY S,0.0
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,51.51349214773037,-0.11436054290620458,554.3930711635737,316.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,51.51349214773037,-0.11436054290620458,577.9830226987185,363.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alfreton,ALF,1.0,53.1004322999438,-1.36969621564025,51.51349214773037,-0.11436054290620458,196.24002075600885,156.0,97.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Allens West,ALW,1.0,54.5246233650745,-1.36111683481751,51.51349214773037,-0.11436054290620458,345.37049576031563,177.0,156.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alloa,ALO,1.0,56.1177936041036,-3.79005640302655,51.51349214773037,-0.11436054290620458,566.5784850554393,360.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alness,ASS,1.0,57.6943991747966,-4.24971726526612,51.51349214773037,-0.11436054290620458,737.7693301872355,534.0,183.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alnmouth,ALM,0.0,55.3927786386397,-1.63663783937358,51.51349214773037,-0.11436054290620458,443.4005176118038,219.0,160.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alresford (Essex),ALR,1.0,51.8539974379073,0.997436403040026,51.51349214773037,-0.11436054290620458,85.71803752975755,98.0,34.1,GREATER ANGLIA,ANYTIME DAY S,0.0
Alsager,ASG,1.0,53.0930054110113,-2.29905784069112,51.51349214773037,-0.11436054290620458,230.41014188576702,127.0,145.0,VIRGIN WEST COAST,ANYTIME S,0.0
Althorne (Essex),ALN,1.0,51.6478675266105,0.75248341471277,51.51349214773037,-0.11436054290620458,61.919334343535965,77.0,19.9,GREATER ANGLIA,ANYTIME DAY S,0.0
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,51.51349214773037,-0.11436054290620458,234.35586764023714,159.0,113.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Altnabreac,ABC,2.0,58.3881525009701,-3.7062809681672,51.51349214773037,-0.11436054290620458,798.8675899134281,757.0,190.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alton,AON,0.0,51.1519686627366,-0.966913302570746,51.51349214773037,-0.11436054290620458,71.75063777778988,72.0,20.5,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Altrincham,ALT,1.0,53.3877187203289,-2.34688910433965,51.51349214773037,-0.11436054290620458,257.91266254975557,144.0,179.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,51.51349214773037,-0.11436054290620458,157.5765357232872,133.0,93.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ambergate,AMB,1.0,53.0605170840145,-1.48069758186533,51.51349214773037,-0.11436054290620458,195.76083675522986,166.0,97.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Amberley,AMY,0.0,50.8966791881016,-0.541992407726222,51.51349214773037,-0.11436054290620458,74.84708987333319,84.0,25.5,SOUTHERN,ANYTIME DAY S,0.0
Amersham,AMR,0.0,51.6742050968552,-0.607596139216709,51.51349214773037,-0.11436054290620458,38.574584246943324,39.0,-999.0,N/A,no route found,-998.0
Ammanford,AMF,1.0,51.7959795450084,-3.99673575596767,51.51349214773037,-0.11436054290620458,270.47929094017206,298.0,137.0,GWR,ANYTIME S,823.0
Ancaster,ANC,1.0,52.9876865844111,-0.535623734022494,51.51349214773037,-0.11436054290620458,166.5396597324804,106.0,69.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,56.0
Anderston,AND,1.0,55.8599021238713,-4.27098003165416,51.51349214773037,-0.11436054290620458,556.0307101618193,300.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Andover,ADV,0.0,51.2115476149434,-1.49223307188506,51.51349214773037,-0.11436054290620458,101.6754863508755,65.0,36.4,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Anerley,ANZ,0.0,51.4121513855632,-0.0658859220340606,51.51349214773037,-0.11436054290620458,11.767413885731052,25.0,5.5,ATOC,ANYTIME DAY S,0.0
Angel Road,AGR,1.0,51.61240330726,-0.0487914234374522,51.51349214773037,-0.11436054290620458,11.90709101350738,25.0,7.9,ATOC,ANYTIME DAY S,1000.0
Angmering,ANG,0.0,50.8165743892467,-0.489394019247872,51.51349214773037,-0.11436054290620458,81.85048020221183,96.0,33.4,SOUTHERN,ANYTIME DAY S,0.0
Annan,ANN,1.0,54.9838388790739,-3.2625810423293,51.51349214773037,-0.11436054290620458,439.58198374621344,237.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Anniesland,ANL,1.0,55.8893555064876,-4.32195784208586,51.51349214773037,-0.11436054290620458,560.4913791936232,319.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ansdell & Fairhaven,AFV,1.0,53.7414654744213,-2.99303444657805,51.51349214773037,-0.11436054290620458,315.3241076373582,225.0,180.0,VIRGIN WEST COAST,ANYTIME S,0.0
Apperley Bridge,APY,1.0,53.8417501065548,-1.70582867126391,51.51349214773037,-0.11436054290620458,280.54109694348125,169.0,132.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appleby,APP,1.0,54.5803488158896,-2.48669258391647,51.51349214773037,-0.11436054290620458,376.5086808955136,299.0,142.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appledore (Kent),APD,1.0,51.0332342031393,0.816341504124954,51.51349214773037,-0.11436054290620458,84.10060847153514,57.0,34.0,SOUTHERN,ANYTIME DAY S,725.0
Appleford,APF,1.0,51.6396415502262,-1.24214153179695,51.51349214773037,-0.11436054290620458,79.43136352248129,84.0,33.7,GWR,ANYTIME DAY S,0.0
Appley Bridge,APB,2.0,53.5786734960166,-2.71925251339081,51.51349214773037,-0.11436054290620458,289.8545510532632,147.0,165.0,VIRGIN WEST COAST,ANYTIME S,0.0
Apsley,APS,0.0,51.7325208234117,-0.462934812195194,51.51349214773037,-0.11436054290620458,34.30144271612572,32.0,14.1,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Arbroath,ARB,0.0,56.5595762979872,-2.58893177406225,51.51349214773037,-0.11436054290620458,584.4892080288136,381.0,179.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,1.0,57.8814576101148,-4.36209023833324,51.51349214773037,-0.11436054290620458,759.561577640016,575.0,190.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardlui,AUI,2.0,56.3019723653141,-4.72165858161935,51.51349214773037,-0.11436054290620458,612.6638409775595,400.0,201.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Harbour,ADS,1.0,55.6398782290401,-4.82111163323781,51.51349214773037,-0.11436054290620458,554.8032261010695,334.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan South Beach,ASB,1.0,55.641422142645,-4.80121264089138,51.51349214773037,-0.11436054290620458,554.2053509122962,329.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Town,ADN,1.0,55.6397124556587,-4.81267645169651,51.51349214773037,-0.11436054290620458,554.4756228329435,332.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardwick,ADK,1.0,53.471345820655,-2.21388417456067,51.51349214773037,-0.11436054290620458,260.35891985694866,154.0,175.0,VIRGIN WEST COAST,ANYTIME S,0.0
Argyle Street,AGS,1.0,55.8573090626122,-4.25069486323156,51.51349214773037,-0.11436054290620458,555.1254196539368,292.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arisaig,ARG,2.0,56.9125537431151,-5.83907949880085,51.51349214773037,-0.11436054290620458,707.014322191441,650.0,222.0,VIRGIN WEST COAST,ANYTIME S,0.0
Arlesey,ARL,0.0,52.0260300130868,-0.266319838272065,51.51349214773037,-0.11436054290620458,57.98318750407673,55.0,18.2,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,1000.0
Armadale (West Lothian),ARM,1.0,55.8857140292087,-3.69541334262219,51.51349214773037,-0.11436054290620458,540.8828296550199,350.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Armathwaite,AWT,1.0,54.8094679848183,-2.77207147292765,51.51349214773037,-0.11436054290620458,407.5394557224521,353.0,142.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arnside,ARN,1.0,54.2027315043991,-2.82824189170434,51.51349214773037,-0.11436054290620458,350.6204352888375,222.0,178.5,VIRGIN WEST COAST,ANYTIME S,307.0
Arram,ARR,1.0,53.8843427696163,-0.426570132093475,51.51349214773037,-0.11436054290620458,264.6717321899946,210.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arrochar & Tarbet,ART,2.0,56.2039766194239,-4.72277124702392,51.51349214773037,-0.11436054290620458,603.4222999616596,386.0,201.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arundel,ARU,0.0,50.84821399905,-0.546174298416944,51.51349214773037,-0.11436054290620458,79.93505402083703,87.0,33.1,SOUTHERN,ANYTIME DAY S,0.0
Ascot (Berks),ACT,0.0,51.406243053303,-0.675833255037063,51.51349214773037,-0.11436054290620458,40.80658198318282,54.0,28.0,GWR,ANYTIME DAY S,0.0
Ascott-under-Wychwood,AUW,1.0,51.8673416456497,-1.56405280921503,51.51349214773037,-0.11436054290620458,107.6986117984823,107.0,35.5,GWR,ANYTIME S,0.0
Ash,ASH,1.0,51.2495967734882,-0.712805474371656,51.51349214773037,-0.11436054290620458,50.969191007394606,84.0,29.4,GWR,ANYTIME DAY S,0.0
Ash Vale,AHV,0.0,51.2722464128127,-0.72164859629209,51.51349214773037,-0.11436054290620458,50.07039013916271,48.0,16.0,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ashburys,ABY,1.0,53.471639721401,-2.19443661452133,51.51349214773037,-0.11436054290620458,259.66549465239564,175.0,175.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ashchurch for Tewkesbury,ASC,0.0,51.9989057939667,-2.10876020926952,51.51349214773037,-0.11436054290620458,147.91984939082096,142.0,109.0,GWR,ANYTIME S,0.0
Ashfield,ASF,2.0,55.8889269328418,-4.24921509407071,51.51349214773037,-0.11436054290620458,558.0930939970267,324.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashford (Surrey),AFS,0.0,51.4365062586203,-0.468070995385795,51.51349214773037,-0.11436054290620458,26.02509914353499,50.0,8.3,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ashford International,AFK,0.0,51.1437026741936,0.876197214386404,51.51349214773037,-0.11436054290620458,80.36958114034972,94.0,32.1,SOUTHERN,ANYTIME DAY S,725.0
Ashford International (Eurostar),ASI,-999.0,nan,nan,51.51349214773037,-0.11436054290620458,nan,-999.0,-999.0,N/A,no route found,-998.0
Ashley,ASY,1.0,53.3557258053839,-2.34146074338483,51.51349214773037,-0.11436054290620458,254.8561765951159,152.0,179.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashtead,AHD,0.0,51.317872587997,-0.307571763628547,51.51349214773037,-0.11436054290620458,25.580031005664093,45.0,8.0,SOUTHERN,ANYTIME DAY S,0.0
Ashton-under-Lyne,AHN,2.0,53.4912746360398,-2.09431253377749,51.51349214773037,-0.11436054290620458,257.87787674914597,182.0,136.5,VIRGIN WEST COAST,ANYTIME S,312.0
Ashurst (Kent),AHS,0.0,51.1286608253579,0.152652111896866,51.51349214773037,-0.11436054290620458,46.68541399072909,57.0,13.5,SOUTHERN,ANYTIME DAY S,0.0
Ashurst New Forest,ANF,0.0,50.8898511647037,-1.52663085660955,51.51349214773037,-0.11436054290620458,120.64885227334466,117.0,45.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ashwell & Morden,AWM,0.0,52.0307706434447,-0.109788918120069,51.51349214773037,-0.11436054290620458,57.55483157896243,58.0,19.5,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,1000.0
Askam,ASK,1.0,54.1889331625586,-3.20451175494515,51.51349214773037,-0.11436054290620458,363.2164727273041,279.0,185.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aslockton,ALK,1.0,52.9515495737311,-0.898097621841918,51.51349214773037,-0.11436054290620458,168.73386282301456,100.0,92.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aspatria,ASP,1.0,54.7589599137074,-3.33187421074512,51.51349214773037,-0.11436054290620458,420.40021816885337,297.0,207.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aspley Guise,APG,1.0,52.0212361960308,-0.632334507265971,51.51349214773037,-0.11436054290620458,66.85817569179635,82.0,32.5,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Aston,AST,1.0,52.5042320347358,-1.8719337575538,51.51349214773037,-0.11436054290620458,163.44329708445716,116.0,89.0,VIRGIN WEST COAST,ANYTIME S,0.0
Atherstone,ATH,0.0,52.5789720633612,-1.55281147568713,51.51349214773037,-0.11436054290620458,154.24795286747937,84.0,80.0,VIRGIN WEST COAST,ANYTIME S,0.0
Atherton,ATN,1.0,53.5291462480773,-2.47897234425216,51.51349214773037,-0.11436054290620458,275.7747878992847,197.0,165.0,VIRGIN WEST COAST,ANYTIME S,0.0
Attadale,ATT,2.0,57.3950433711996,-5.4555786528295,51.51349214773037,-0.11436054290620458,740.1717100441407,709.0,190.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Attenborough,ATB,1.0,52.9062133028873,-1.23141560765685,51.51349214773037,-0.11436054290620458,172.7552193750263,152.0,92.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Attleborough,ATL,1.0,52.5145445883409,1.02234755537498,51.51349214773037,-0.11436054290620458,136.0005113844127,123.0,61.8,GREATER ANGLIA,ANYTIME S,135.0
Auchinleck,AUK,1.0,55.4702784722357,-4.29535018687193,51.51349214773037,-0.11436054290620458,520.3007567121849,303.0,186.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Audley End,AUD,0.0,52.0044405435161,0.207160027997398,51.51349214773037,-0.11436054290620458,58.962903542348485,65.0,22.1,GREATER ANGLIA,ANYTIME DAY S,0.0
Aughton Park,AUG,2.0,53.5542504500956,-2.89522128047861,51.51349214773037,-0.11436054290620458,295.2146671242942,190.0,167.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aviemore,AVM,1.0,57.1885162452285,-3.82886797624022,51.51349214773037,-0.11436054290620458,676.0421825794828,493.0,181.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Avoncliff,AVF,1.0,51.3396528744674,-2.28132558221387,51.51349214773037,-0.11436054290620458,151.9469590613007,157.0,101.5,GWR,ANYTIME S,0.0
Avonmouth,AVN,1.0,51.5003648679963,-2.69946651797304,51.51349214773037,-0.11436054290620458,179.480487891904,188.0,109.0,GWR,ANYTIME S,0.0
Axminster,AXM,0.0,50.7792744117621,-3.00472359764506,51.51349214773037,-0.11436054290620458,218.10956833390492,163.0,70.0,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Aylesbury,AYS,0.0,51.8138902206829,-0.815095998270687,51.51349214773037,-0.11436054290620458,58.88808511575239,60.0,17.1,CHILTERN RAILWAYS,ANYTIME DAY S,0.0
Aylesbury Vale Parkway,AVP,0.0,51.8311587338339,-0.860182437861177,51.51349214773037,-0.11436054290620458,62.53914768465185,66.0,18.5,CHILTERN RAILWAYS,ANYTIME DAY S,0.0
Aylesford,AYL,1.0,51.3013153585378,0.466170568242092,51.51349214773037,-0.11436054290620458,46.78566625090674,55.0,22.4,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,131.0
Aylesham,AYH,0.0,51.2272505439136,1.2094526827124,51.51349214773037,-0.11436054290620458,97.53071474480906,107.0,35.7,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,131.0
Ayr,AYR,1.0,55.4581477383334,-4.62587677242484,51.51349214773037,-0.11436054290620458,531.1952320166633,346.0,186.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bache,BAC,1.0,53.2087886904783,-2.89167051075084,51.51349214773037,-0.11436054290620458,267.1386477997323,138.0,147.5,VIRGIN WEST COAST,ANYTIME S,0.0
Baglan,BAJ,1.0,51.615545271975,-3.81113654529303,51.51349214773037,-0.11436054290620458,256.56729417103634,178.0,132.5,GWR,ANYTIME S,0.0
Bagshot,BAG,0.0,51.3643669407293,-0.688661997063008,51.51349214773037,-0.11436054290620458,43.24238093251521,67.0,16.3,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Baildon,BLD,1.0,53.8502255005868,-1.75363638811678,51.51349214773037,-0.11436054290620458,282.6596374838237,169.0,134.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Baillieston,BIO,1.0,55.844505909339,-4.11369931815988,51.51349214773037,-0.11436054290620458,549.5117765478097,334.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Balcombe,BAB,0.0,51.0555201604538,-0.136933757536862,51.51349214773037,-0.11436054290620458,50.975419142052885,58.0,23.4,SOUTHERN,ANYTIME DAY S,0.0
Baldock,BDK,0.0,51.9928698318742,-0.187563753520231,51.51349214773037,-0.11436054290620458,53.575840298805396,53.0,16.9,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,1000.0
Balham,BAL,0.0,51.4432234163815,-0.152424495700288,51.51349214773037,-0.11436054290620458,8.253051288216454,43.0,4.6,ATOC,ANYTIME DAY S,0.0
Balloch,BHC,2.0,56.0029392993731,-4.58348654319574,51.51349214773037,-0.11436054290620458,579.8618731682438,365.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Balmossie,BSI,1.0,56.4745685552318,-2.83895622541232,51.51349214773037,-0.11436054290620458,580.2659985519836,506.0,171.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bamber Bridge,BMB,1.0,53.7268691714662,-2.6607753764786,51.51349214773037,-0.11436054290620458,300.6327861098215,180.0,179.5,VIRGIN WEST COAST,ANYTIME S,0.0
Bamford,BAM,1.0,53.3390008432273,-1.68908191470249,51.51349214773037,-0.11436054290620458,229.6335101788919,176.0,100.5,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Banavie,BNV,2.0,56.8433146084024,-5.09542698683765,51.51349214773037,-0.11436054290620458,676.1422675351942,592.0,213.0,VIRGIN WEST COAST,ANYTIME S,0.0
Banbury,BAN,0.0,52.0603086671337,-1.32813289497966,51.51349214773037,-0.11436054290620458,103.51791334089012,59.0,41.3,CHILTERN RAILWAYS,ANYTIME DAY S,0.0
Bangor (Gwynedd),BNG,0.0,53.2222875881889,-4.1358808597691,51.51349214773037,-0.11436054290620458,333.3683194548606,200.0,166.0,VIRGIN WEST COAST,ANYTIME S,0.0
Bank Hall,BAH,2.0,53.4374965462522,-2.98751189569183,51.51349214773037,-0.11436054290620458,289.6947613381969,184.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0
Banstead,BAD,0.0,51.3293474848423,-0.213158931277083,51.51349214773037,-0.11436054290620458,21.609199583113952,57.0,7.4,ATOC,ANYTIME DAY S,0.0
Barassie,BSS,1.0,55.5610644543682,-4.65113966824502,51.51349214773037,-0.11436054290620458,541.4170215331553,361.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Barbican,ZBB,0.0,nan,nan,51.51349214773037,-0.11436054290620458,nan,4.0,4.9,ATOC,ANYTIME DAY S,1000.0
Bardon Mill,BLL,1.0,54.9744957852522,-2.34650475516335,51.51349214773037,-0.11436054290620458,412.9431557974552,270.0,160.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bare Lane,BAR,1.0,54.0745443408907,-2.83533086719705,51.51349214773037,-0.11436054290620458,338.93274581194163,186.0,180.0,VIRGIN WEST COAST,ANYTIME S,0.0
Bargeddie,BGI,1.0,55.8512961462984,-4.07380825280165,51.51349214773037,-0.11436054290620458,548.907736048669,331.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Bargoed,BGD,1.0,51.6923127611933,-3.22968013064506,51.51349214773037,-0.11436054290620458,216.74012240292095,185.0,121.0,GWR,ANYTIME S,0.0
Barking,BKG,0.0,51.5394928787692,0.0809024258638578,51.51349214773037,-0.11436054290620458,13.85661752179124,15.0,5.9,ATOC,ANYTIME DAY S,0.0
